Allocations for Section 18004(a)(1) of the CARES Act,,,
,,,
OPEID,School,Total Allocation ($),"Minimum Allocation to
be Awarded for
Emergency Financial Aid
Grants to Students ($)"
198700,Transylvania University,"878,886.00","439,443.00"
535100,Tennessee College Of Applied Technology - Morristown,"877,779.00","438,890.00"
204400,Maine Maritime Academy,"876,568.00","438,284.00"
3105200,Baptist Health College Little Rock,"876,349.00","438,175.00"
4117300,Dayton School Of Medical Massage,"875,986.00","437,993.00"
3973300,Sae  Expression College,"875,264.00","437,632.00"
1047400,Marymount California University,"874,466.00","437,233.00"
327400,Haverford College,"873,803.00","436,902.00"
156300,Emmanuel College,"871,449.00","435,725.00"
307300,Marietta College,"870,471.00","435,236.00"
258300,Great Bay Community College,"870,169.00","435,085.00"
398100,University Of North Carolina School Of The Arts,"868,886.00","434,443.00"
136100,Northeastern Junior College,"868,359.00","434,180.00"
131900,"University Of California, San Francisco","867,955.00","433,978.00"
406900,University Of Minnesota - Crookston,"864,154.00","432,077.00"
1017000,Western Dakota Technical Institute,"863,880.00","431,940.00"
2568100,Texas Barber College,"863,797.00","431,899.00"
335200,Philadelphia College Of Osteopathic Medicine,"863,192.00","431,596.00"
229500,Montcalm Community College,"861,963.00","430,982.00"
798700,Bladen Community College,"861,961.00","430,981.00"
760700,Concorde Career College,"861,408.00","430,704.00"
1256100,Five Towns College,"860,147.00","430,074.00"
807100,Concorde Career College,"857,787.00","428,894.00"
474300,Clovis Community College,"857,725.00","428,863.00"
117000,Claremont Mckenna College,"855,579.00","427,790.00"
2348200,Arkansas State University Mid-South,"855,413.00","427,707.00"
2161800,Musicians Institute,"854,505.00","427,253.00"
184600,Briar Cliff University,"853,293.00","426,647.00"
827800,Terra State Community College,"852,360.00","426,180.00"
4171000,Advanced Training Institute,"850,047.00","425,024.00"
299000,University Of Jamestown,"848,958.00","424,479.00"
304600,Franklin University,"846,988.00","423,494.00"
3005400,Georgia Career Institute,"846,937.00","423,469.00"
185600,Cornell College,"845,562.00","422,781.00"
931400,Great Falls College Montana State University,"845,222.00","422,611.00"
100800,Athens State University,"845,033.00","422,517.00"
1246200,Eastwick College - Hackensack Campus.,"844,520.00","422,260.00"
339600,Wilson College,"843,869.00","421,935.00"
196900,Kentucky Wesleyan College,"843,204.00","421,602.00"
321700,Reed College,"842,657.00","421,329.00"
1265200,Onondaga Cortland Madison Boces,"842,620.00","421,310.00"
1205000,Rosedale Technical College,"842,493.00","421,247.00"
701200,Samuel Merritt University,"841,525.00","420,763.00"
342200,Southern Wesleyan University,"841,417.00","420,709.00"
678900,Columbia - Greene Community College - Suny Office Of Cmnty Colleges,"840,707.00","420,354.00"
247300,Kansas City Art Institute,"840,665.00","420,333.00"
2077100,Milwaukee Institute Of Art & Design,"840,652.00","420,326.00"
1226000,East Arkansas Community College,"840,222.00","420,111.00"
1287500,Pickens Technical College,"839,917.00","419,959.00"
3957400,New College Of Florida,"837,170.00","418,585.00"
229900,North Central Michigan College,"835,428.00","417,714.00"
2143400,Salish Kootenai College,"832,524.00","416,262.00"
108700,Arkansas Baptist College,"831,019.00","415,510.00"
3750300,Prospect College,"830,854.00","415,427.00"
3085700,Professional Technical Institution,"827,459.00","413,730.00"
255900,Peru State College,"827,344.00","413,672.00"
192900,Kansas Wesleyan University,"823,462.00","411,731.00"
299600,North Dakota State College Of Science,"823,352.00","411,676.00"
188300,Northwestern College,"822,778.00","411,389.00"
348400,Covenant College,"822,751.00","411,376.00"
402500,Tennessee College Of Applied Technology - Knoxville,"822,349.00","411,175.00"
685800,Unity College,"822,158.00","411,079.00"
778200,Tennessee College Of Applied Technology - Dickson,"821,613.00","410,807.00"
370700,Richard Bland College,"820,734.00","410,367.00"
162400,Northwest Nazarene University,"820,668.00","410,334.00"
3534400,American Institute Of Alternative Medicine,"818,622.00","409,311.00"
330200,Mount Aloysius College,"816,503.00","408,252.00"
215100,Benjamin Franklin Institute Of Technology,"814,858.00","407,429.00"
2524000,Sunstate Academy,"814,778.00","407,389.00"
3075600,Emma'S Beauty Academy,"814,149.00","407,075.00"
270900,Concordia College,"813,395.00","406,698.00"
193000,Labette Community College,"812,240.00","406,120.00"
184400,Wabash College,"810,923.00","405,462.00"
1230000,Palmer College Of Chiropractic,"809,390.00","404,695.00"
3296300,Cortiva Institute,"809,235.00","404,618.00"
161700,College Of Idaho (The),"809,015.00","404,508.00"
236500,Minneapolis College Of Art & Design,"807,630.00","403,815.00"
554400,Alexandria Technical And Community College,"807,310.00","403,655.00"
289600,Villa Maria College Of Buffalo,"807,056.00","403,528.00"
199300,Henderson Community College,"806,658.00","403,329.00"
193600,Neosho County Community College,"806,338.00","403,169.00"
627300,Mercy College Of Health Sciences,"805,957.00","402,979.00"
256000,Western Nebraska Community College,"805,697.00","402,849.00"
206700,Washington Adventist University,"805,558.00","402,779.00"
3089200,Nouvelle Institute,"805,020.00","402,510.00"
306600,Lake Erie College,"803,405.00","401,703.00"
923600,Nashua Community College,"802,358.00","401,179.00"
3193300,Manhattan School Of Computer Technology,"801,874.00","400,937.00"
398200,Cleveland Institute Of Art (The),"801,788.00","400,894.00"
361900,Southwestern Adventist University,"801,162.00","400,581.00"
371500,Hollins University,"799,714.00","399,857.00"
3642300,Institute Of Technology,"799,110.00","399,555.00"
4134800,Aveda Institute - Tallahassee,"798,287.00","399,144.00"
158700,Paine College,"798,094.00","399,047.00"
315100,Oklahoma Wesleyan University,"797,766.00","398,883.00"
4142600,Touro University,"797,347.00","398,674.00"
2087000,Ozarka College,"797,075.00","398,538.00"
193300,Mcpherson College,"795,375.00","397,688.00"
2170700,Brunswick Community College,"795,340.00","397,670.00"
1326300,South Hills School Of Business & Technology,"795,265.00","397,633.00"
396500,Bay State College,"794,883.00","397,442.00"
179900,Goshen College,"792,911.00","396,456.00"
3011600,Fortis Institute,"791,394.00","395,697.00"
329400,Manor College,"790,389.00","395,195.00"
374700,University Of Virginia'S College At Wise (The),"788,966.00","394,483.00"
228800,Rochester University,"787,257.00","393,629.00"
2577900,Santa Barbara Business College,"786,894.00","393,447.00"
118700,College Of The Siskiyous,"785,260.00","392,630.00"
239800,Blue Mountain College,"784,621.00","392,311.00"
766900,Southwest Wisconsin Technical College,"783,630.00","391,815.00"
345400,University Of South Carolina - Salkehatchie,"783,241.00","391,621.00"
3650600,Pc Age,"782,767.00","391,384.00"
4156400,Aviation Institute Of Maintenance,"782,346.00","391,173.00"
291200,Brevard College,"782,339.00","391,170.00"
257200,Colby-Sawyer College,"779,605.00","389,803.00"
235500,Hibbing Community College,"779,596.00","389,798.00"
3842500,Cambridge Institute Of Allied Health And Technology,"779,045.00","389,523.00"
986300,Pennsylvania College Of Health Sciences,"778,640.00","389,320.00"
224000,Bay De Noc Community College,"778,116.00","389,058.00"
297900,Warren Wilson College,"776,538.00","388,269.00"
4149100,Paul Mitchell The School Cincinnati,"776,215.00","388,108.00"
476500,Cuny Graduate School & University Center,"776,134.00","388,067.00"
3108500,Everglades University,"776,027.00","388,014.00"
2220900,Cossatot Community College Of The University Of Arkansas,"775,262.00","387,631.00"
255700,Mid-Plains Community College,"774,946.00","387,473.00"
4128400,Miami Regional University,"774,452.00","387,226.00"
2149900,Paul Mitchell The School-Jacksonville,"773,577.00","386,789.00"
994100,Belmont College,"773,450.00","386,725.00"
346300,Dakota State University,"771,997.00","385,999.00"
335100,Cairn University,"771,522.00","385,761.00"
1009800,Neumont College Of Computer Science,"769,673.00","384,837.00"
291100,Bennett College,"768,798.00","384,399.00"
301600,Bluffton University,"768,698.00","384,349.00"
185200,Clarke University,"768,683.00","384,342.00"
252300,Westminster College,"768,643.00","384,322.00"
3781400,Industrial Technical College,"768,357.00","384,179.00"
3025900,"Liceo De Arte, Diseños Y Comercio","767,805.00","383,903.00"
383100,Wheeling University,"766,653.00","383,327.00"
271000,Cooper Union For The Advancement Of Science & Art (The),"766,505.00","383,253.00"
678700,Clinton Community College - Suny Office Of Community Colleges,"765,962.00","382,981.00"
380300,Whitman College,"764,766.00","382,383.00"
190900,Cloud County Community College,"763,297.00","381,649.00"
205200,Thomas College,"762,266.00","381,133.00"
241400,Millsaps College,"761,840.00","380,920.00"
526000,J. F.  Drake State Community And Technical College,"761,763.00","380,882.00"
214500,Eastern Nazarene College,"761,413.00","380,707.00"
764900,Rocky Mountain College Of Art + Design,"761,314.00","380,657.00"
2285900,Ucas University Of Cosmetology Arts & Sciences,"760,609.00","380,305.00"
223700,Alpena Community College,"759,853.00","379,927.00"
2559000,University Of Advancing Computer Technology,"759,682.00","379,841.00"
1100900,Palau Community College,"759,490.00","379,745.00"
908900,Hannibal - Lagrange University,"759,488.00","379,744.00"
1226300,Atlantic Technical College,"758,163.00","379,082.00"
256300,Union College,"757,995.00","378,998.00"
3078000,Miami Media School,"757,634.00","378,817.00"
2155300,Chicago School Of Professional Psychology,"756,112.00","378,056.00"
195100,Alice Lloyd College,"754,640.00","377,320.00"
4148300,Denver College Of Nursing,"753,229.00","376,615.00"
485300,Bradford School,"752,083.00","376,042.00"
861400,Rabbinical College Bobover Yeshiva Bnei Zion,"751,000.00","375,500.00"
4152800,Paul Mitchell The School Sacramento,"750,351.00","375,176.00"
3125800,Premiere Career College,"747,470.00","373,735.00"
711300,Arizona Christian University,"747,009.00","373,505.00"
192400,Independence Community College,"746,807.00","373,404.00"
3129100,Fond Du Lac Tribal & Community College,"744,831.00","372,416.00"
123600,Menlo College,"744,390.00","372,195.00"
477600,Central Yeshiva Tomchei Tmimim Lubavitz,"743,134.00","371,567.00"
351100,Milligan College,"742,753.00","371,377.00"
235600,Itasca Community College,"741,976.00","370,988.00"
2607100,Paul Mitchell The School Boise,"740,779.00","370,390.00"
4208600,Relay Graduate School Of Education,"740,441.00","370,221.00"
174200,Illinois Eastern Community Colleges - Olney Central College,"737,002.00","368,501.00"
2554800,Vanguard College Of Cosmetology A Paul Mitchell Partner School-Metaire,"736,592.00","368,296.00"
622800,Methodist College,"736,004.00","368,002.00"
294800,Montreat College,"735,993.00","367,997.00"
822800,Seward County Community College,"734,560.00","367,280.00"
393100,Northwest College,"732,668.00","366,334.00"
905400,West Virginia Northern Community College,"732,317.00","366,159.00"
1119400,Stanly Community College,"731,366.00","365,683.00"
2092500,Laurel Technical Institute,"727,647.00","363,824.00"
4167000,Paul Mitchell The School Temecula,"725,475.00","362,738.00"
393300,Western Wyoming Community College,"725,242.00","362,621.00"
4193000,Rio Grande Valley College,"722,800.00","361,400.00"
3106200,Franciscan Missionaries Of Our Lady University,"721,431.00","360,716.00"
484500,Wilson Community College,"718,656.00","359,328.00"
694200,Mid-America Christian University,"716,752.00","358,376.00"
186200,Ellsworth Community College,"715,943.00","357,972.00"
150800,North Florida College,"715,483.00","357,742.00"
2156600,Davis Technical College,"713,275.00","356,638.00"
4222000,Arclabs,"712,771.00","356,386.00"
717100,Kirtland Community College,"712,739.00","356,370.00"
4130900,Tricoci University Of Beauty Culture,"711,717.00","355,859.00"
2279600,Cortiva Institute,"709,623.00","354,812.00"
202300,University Of Holy Cross,"708,685.00","354,343.00"
252400,William Jewell College,"707,592.00","353,796.00"
342600,University Of South Carolina - Sumter,"705,800.00","352,900.00"
2270800,Ameritech College,"705,243.00","352,622.00"
2237800,Specs Howard School Of Media Arts,"702,843.00","351,422.00"
117700,Cogswell Polytechnical College,"701,472.00","350,736.00"
187100,Iowa Wesleyan University,"699,320.00","349,660.00"
3428300,Klamath Community College,"699,314.00","349,657.00"
4182600,Hci College,"698,258.00","349,129.00"
3115200,Motoring Technical Training Institute,"698,220.00","349,110.00"
3110700,Aviation Institute Of Maintenance,"698,192.00","349,096.00"
276300,Maria College,"697,463.00","348,732.00"
855800,Beaufort County Community College,"695,419.00","347,710.00"
865500,Genesis Career College,"692,917.00","346,459.00"
3319300,Creative Images Institute Of Cosmetology,"692,021.00","346,011.00"
370300,Bluefield College,"691,152.00","345,576.00"
2170000,Swedish Institute,"691,142.00","345,571.00"
4182200,Hawaii Medical College,"690,676.00","345,338.00"
314100,Wilberforce University,"689,372.00","344,686.00"
3960300,New River Community And Technical College,"688,982.00","344,491.00"
976800,University Of North Texas Health Science Center At Fort Worth,"687,698.00","343,849.00"
2503900,Warren County Community College,"686,371.00","343,186.00"
2569400,Escuela De Artes Plasticas Y Diseño De Puerto Rico,"686,208.00","343,104.00"
2333000,Hair Academy,"685,979.00","342,990.00"
757000,Helena College University Of Montana,"685,627.00","342,814.00"
980000,Rush University,"683,762.00","341,881.00"
273500,Hilbert College,"683,112.00","341,556.00"
2570400,Educational Technical College (Edutec),"682,212.00","341,106.00"
3723300,Culinary Institute Lenotre,"682,153.00","341,077.00"
125200,Hope International University,"681,856.00","340,928.00"
108800,Lyon College,"680,216.00","340,108.00"
371300,Hampden Sydney College,"679,908.00","339,954.00"
1111700,Alliant International University,"679,282.00","339,641.00"
250400,St. Louis College Of Pharmacy,"678,296.00","339,148.00"
171700,Macmurray College,"677,656.00","338,828.00"
342900,Columbia International University,"676,941.00","338,471.00"
4016500,American Institute Of Beauty,"676,204.00","338,102.00"
4119400,Aveda Institute - South Florida,"676,153.00","338,077.00"
4221300,Philadelphia Technician Training Institute,"675,783.00","337,892.00"
2112200,Great Lakes Institute Of Technology,"675,003.00","337,502.00"
759300,Parisian Beauty Academy Paul Mitchell Partner School,"673,639.00","336,820.00"
313400,Ursuline College,"673,311.00","336,656.00"
1174500,Ohio Technical College,"671,034.00","335,517.00"
638900,Goldfarb School Of Nursing At Barnes-Jewish College,"669,542.00","334,771.00"
997600,College Of The Ouachitas,"669,324.00","334,662.00"
251200,Stephens College,"668,976.00","334,488.00"
944900,Pennco Tech,"667,974.00","333,987.00"
239300,Minnesota State College Southeast,"666,447.00","333,224.00"
373400,Randolph College,"664,874.00","332,437.00"
3114700,Praxis Institute,"663,998.00","331,999.00"
331700,Cheyney University Of Pennsylvania,"663,615.00","331,808.00"
194500,Sterling College,"662,915.00","331,458.00"
304100,Defiance College,"662,680.00","331,340.00"
2330500,Laguna College Of Art And Design,"661,479.00","330,740.00"
632400,Laboure College,"661,421.00","330,711.00"
768700,James Sprunt Community College,"661,318.00","330,659.00"
226400,Gogebic Community College,"661,272.00","330,636.00"
3652300,Metropolitan Learning Institute,"660,220.00","330,110.00"
346600,Northern State University,"659,777.00","329,889.00"
283900,State University Of New York Downstate Medical Center,"658,028.00","329,014.00"
2117500,Naropa University,"656,811.00","328,406.00"
576000,Northern Maine Community College,"655,429.00","327,715.00"
336000,Rosemont College,"653,142.00","326,571.00"
205100,Saint Joseph'S College,"649,094.00","324,547.00"
2556800,Paul Mitchell The School Salt Lake City,"647,756.00","323,878.00"
560800,Traviss Technical College,"644,793.00","322,397.00"
2556700,Seminar L'Moros Bais Yaakov,"644,413.00","322,207.00"
2576100,Escuela Técnica De Electricidad,"644,003.00","322,002.00"
1186200,Northland Pioneer College,"643,137.00","321,569.00"
346100,Dakota Wesleyan University,"641,844.00","320,922.00"
298900,Dickinson State University,"640,093.00","320,047.00"
2168600,East-West University,"638,436.00","319,218.00"
183500,Saint Mary Of The Woods College,"637,917.00","318,959.00"
769300,Shawnee Community College,"637,619.00","318,810.00"
187500,Marshalltown Community College,"636,628.00","318,314.00"
387500,Northland College,"636,542.00","318,271.00"
314600,Western Oklahoma State College,"635,791.00","317,896.00"
2063500,Coastline Community College,"634,209.00","317,105.00"
2104900,Sumner College,"632,989.00","316,495.00"
1231500,Cornish College Of The Arts,"632,813.00","316,407.00"
4146700,Aviation Institute Of Maintenance,"631,206.00","315,603.00"
3490300,Paul Mitchell The School Chicago,"626,698.00","313,349.00"
4168700,Peloton College,"626,237.00","313,119.00"
204100,University Of Maine - Fort Kent,"626,037.00","313,019.00"
117200,Pitzer College,"625,861.00","312,931.00"
613600,National Aviation Academy - New England,"625,133.00","312,567.00"
3079800,George T. Baker Aviation Technical College,"624,978.00","312,489.00"
167800,Eureka College,"624,909.00","312,455.00"
888700,Concorde Career College,"623,986.00","311,993.00"
4206300,Florida Vocational Institute,"623,164.00","311,582.00"
290100,Wells College,"623,035.00","311,518.00"
2275100,Concorde Career Institute,"621,612.00","310,806.00"
2115300,Pinellas Technical College - St. Petersburg Campus,"621,026.00","310,513.00"
1209200,Kenneth Shuler School Of Cosmetology,"620,853.00","310,427.00"
164300,Spoon River College,"617,648.00","308,824.00"
4235000,Felbry College-School Of Nursing,"617,396.00","308,698.00"
139300,Mitchell College,"616,528.00","308,264.00"
798600,Halifax Community College,"616,040.00","308,020.00"
808300,Haywood Community College,"614,386.00","307,193.00"
3052300,Kenneth Shuler School Of Cosmetology & Hair Design,"611,571.00","305,786.00"
330900,Peirce College,"611,389.00","305,695.00"
203300,University Of Maine - Presque Isle,"610,998.00","305,499.00"
2104000,Harris School Of Business,"609,828.00","304,914.00"
3413300,Mountainland Technical College,"609,482.00","304,741.00"
4127300,Columbia College,"609,412.00","304,706.00"
3130500,Urban College Of Boston,"608,706.00","304,353.00"
315600,Redlands Community College,"608,459.00","304,230.00"
2103500,Tennessee College Of Applied Technology - Murfreesboro,"607,231.00","303,616.00"
2578200,Nossi College Of Art,"606,694.00","303,347.00"
2270600,Life Pacific University,"606,084.00","303,042.00"
3555300,Southeastern Institute,"605,946.00","302,973.00"
3071900,Mount Carmel College Of Nursing,"605,611.00","302,806.00"
3003600,William T Mcfatter Technical College,"603,976.00","301,988.00"
4206400,Helms College,"602,995.00","301,498.00"
902200,Associated Technical College,"602,768.00","301,384.00"
1001900,University Of Texas Southwestern Medical Center (The),"602,606.00","301,303.00"
139800,Northwestern Connecticut Community College,"602,265.00","301,133.00"
4167100,Aveda Institute Denver,"602,184.00","301,092.00"
996500,Canadian Valley Technology Center School District No. 6,"601,347.00","300,674.00"
165900,Rosalind Franklin University Of Medicine And Science,"600,592.00","300,296.00"
3224300,New Professions Technical Institute,"600,447.00","300,224.00"
3089100,Georgia Institute Of Cosmetology,"599,634.00","299,817.00"
4137800,Aveda Institute Columbus,"599,625.00","299,813.00"
859700,Feather River College,"599,153.00","299,577.00"
3537300,New York Automotive & Diesel Institute,"598,781.00","299,391.00"
4194500,Aveda Institute Tucson,"598,691.00","299,346.00"
4195400,Unitek College,"598,178.00","299,089.00"
267000,Clarks Summit University,"596,633.00","298,317.00"
3777300,Paul Mitchell The School Gastonia,"595,930.00","297,965.00"
730500,Porter And Chester Institute Of Hamden,"595,156.00","297,578.00"
4102300,New Age Training,"594,376.00","297,188.00"
368200,Bennington College,"592,763.00","296,382.00"
117600,West Hills Community College,"592,666.00","296,333.00"
4141400,Laurus College,"591,076.00","295,538.00"
3127900,Osceola Technical College,"590,003.00","295,002.00"
3709300,Edward Via Virginia College Of Osteopathic Medicine,"589,803.00","294,902.00"
4146000,National Career College,"589,577.00","294,789.00"
932200,Williamsburg Technical College,"589,306.00","294,653.00"
1119700,Mayland Community College,"588,968.00","294,484.00"
135500,Lamar Community College,"588,420.00","294,210.00"
3776300,Auguste Escoffier School Of Culinary Arts,"588,381.00","294,191.00"
2074000,Branford Hall Career Institute,"588,348.00","294,174.00"
160000,Wesleyan College,"587,801.00","293,901.00"
185700,Southwestern Community College,"587,388.00","293,694.00"
343200,Erskine College,"587,364.00","293,682.00"
4203800,Woodruff Medical Training And Testing,"583,499.00","291,750.00"
2183000,Orleans Technical College,"582,950.00","291,475.00"
380800,Bethany College,"582,649.00","291,325.00"
2150600,Cosmetology And Spa Academy,"582,054.00","291,027.00"
4003300,Blake Austin College,"581,595.00","290,798.00"
353600,Bryan College,"579,257.00","289,629.00"
728900,Central Wyoming College,"578,937.00","289,469.00"
849500,Jamestown Business College,"577,492.00","288,746.00"
1258900,Erie 1 Board Of Cooperative Educational Services,"577,270.00","288,635.00"
226300,Glen Oaks Community College,"576,681.00","288,341.00"
3440400,Marian Health Careers Center,"575,634.00","287,817.00"
490200,Penn Commercial Business/Technical School,"575,574.00","287,787.00"
528300,Tennessee College Of Applied Technology - Newbern,"571,359.00","285,680.00"
345300,University Of South Carolina - Lancaster,"570,863.00","285,432.00"
289200,United States Merchant Marine Academy,"569,967.00","284,984.00"
964600,Piedmont Community College,"569,586.00","284,793.00"
3124200,Nova College Of Puerto Rico,"568,986.00","284,493.00"
2228300,Lake Technical College,"568,563.00","284,282.00"
3109000,School Of Communication Arts Of North Carolina,"568,133.00","284,067.00"
648900,Christ College Of Nursing And Health Sciences,"567,902.00","283,951.00"
1286000,Arkansas Northeastern College,"566,883.00","283,442.00"
795000,West Shore Community College,"564,751.00","282,376.00"
4115600,Mayfield College,"564,629.00","282,315.00"
3666300,Pillar College,"562,480.00","281,240.00"
183400,Calumet College Of Saint Joseph,"562,456.00","281,228.00"
3027700,Pacific College Of Oriental Medicine,"561,804.00","280,902.00"
2172700,Concorde Career Institute,"561,628.00","280,814.00"
2189300,Emma'S Beauty Academy,"561,434.00","280,717.00"
400900,Mesabi Range College,"561,010.00","280,505.00"
2114200,Johnson College,"559,569.00","279,785.00"
4178400,Vogue College Of Cosmetology,"558,728.00","279,364.00"
3627600,Florida Education Institute,"558,247.00","279,124.00"
640400,Nebraska Methodist College Of Nursing & Allied Health,"557,892.00","278,946.00"
3010400,Crescent City School Of Gaming & Bartending,"557,634.00","278,817.00"
856800,Vet Tech Institute,"556,560.00","278,280.00"
3122900,York County Community College,"556,529.00","278,265.00"
954900,Western Texas College,"556,115.00","278,058.00"
2586900,Harris School Of Business,"554,114.00","277,057.00"
919200,Sierra Nevada College,"553,670.00","276,835.00"
4162800,Paul Mitchell The School Modesto,"553,609.00","276,805.00"
3043900,Newschool Of Architecture And Design,"553,090.00","276,545.00"
2185800,Moler Barber College,"551,182.00","275,591.00"
1122000,Windward Community College,"551,098.00","275,549.00"
4165900,Paul Mitchell The School Fresno,"550,245.00","275,123.00"
3098700,Milan Institute,"549,033.00","274,517.00"
1148100,Divers Institute Of Technology,"548,712.00","274,356.00"
1081900,Conservatorio De Música De Puerto Rico,"548,486.00","274,243.00"
537900,Tennessee College Of Applied Technology-Shelbyville,"547,306.00","273,653.00"
1186600,Lu Ross Academy,"547,287.00","273,644.00"
117400,Scripps College,"546,083.00","273,042.00"
3965400,Myrangel Beauty Institute,"546,026.00","273,013.00"
2255400,Toni&Guy Hairdressing Academy,"545,266.00","272,633.00"
760200,Northeastern Technical College,"544,363.00","272,182.00"
1309500,Salon Success Academy,"543,888.00","271,944.00"
3011500,Fortis Institute,"542,910.00","271,455.00"
2111100,University Of Arkansas Community College Rich Mountain,"542,149.00","271,075.00"
177900,Illinois Eastern Community Colleges - Wabash Valley College,"541,848.00","270,924.00"
3103900,Marion Technical College,"541,724.00","270,862.00"
3346300,Academy For Nursing And Health Occupations,"541,389.00","270,695.00"
3816300,Artistic Nails & Beauty Academy,"541,307.00","270,654.00"
1082600,Tom P. Haney Technical Center,"539,960.00","269,980.00"
247700,A. T. Still University Of Health Sciences,"539,820.00","269,910.00"
3025800,Dawn Career Institute,"539,645.00","269,823.00"
2337200,Pj'S College Of Cosmetology,"539,531.00","269,766.00"
729700,Spartan College Of Aeronautics And Technology,"539,465.00","269,733.00"
3356300,Medical Training College,"539,363.00","269,682.00"
705000,Bellus Academy,"539,166.00","269,583.00"
725300,Federico Beauty Institute,"538,895.00","269,448.00"
4129800,Mediatech Institute,"538,457.00","269,229.00"
2501500,Orange Technical College - Mid Florida Campus,"538,345.00","269,173.00"
1201100,Talmudical Seminary Oholei Torah,"538,150.00","269,075.00"
4179100,Verve College,"537,056.00","268,528.00"
2599400,New York College Of Health Professions,"537,043.00","268,522.00"
161400,Kauai Community College,"535,684.00","267,842.00"
318000,Southwestern Christian University,"534,184.00","267,092.00"
746500,American Academy Of Dramatic Arts,"533,811.00","266,906.00"
660600,Baptist Health System School Of Health Professions,"531,618.00","265,809.00"
190500,Bethel College,"531,372.00","265,686.00"
196500,Kentucky Christian University,"531,102.00","265,551.00"
236100,Martin Luther College,"531,043.00","265,522.00"
2129000,Triangle Tech,"530,918.00","265,459.00"
3126300,Aviation Institute Of Maintenance,"530,011.00","265,006.00"
4151800,Temple (The): A Paul Mitchell Partner School,"528,840.00","264,420.00"
110600,Williams Baptist University,"528,721.00","264,361.00"
808500,Mcdowell Technical Community College,"527,975.00","263,988.00"
560500,Pinellas Technical College - Clearwater Campus,"527,113.00","263,557.00"
194600,Tabor College,"525,581.00","262,791.00"
703500,Kettering College,"525,294.00","262,647.00"
4037500,Academy Of Hair Design,"524,704.00","262,352.00"
274200,Juilliard School (The),"524,199.00","262,100.00"
943000,Tri-County Community College,"522,349.00","261,175.00"
284000,State University Of New York Upstate Medical University,"519,926.00","259,963.00"
2203900,Erie Institute Of Technology,"519,694.00","259,847.00"
220100,Pine Manor College,"518,912.00","259,456.00"
1099800,Pennsylvania Institute Of Technology,"518,726.00","259,363.00"
193800,Pratt Community College,"518,364.00","259,182.00"
2511700,Ridge Technical College,"516,450.00","258,225.00"
117100,Harvey Mudd College,"516,332.00","258,166.00"
4221000,"Standard Healthcare Services, College Of Nursing","516,309.00","258,155.00"
102600,Marion Military Institute,"514,237.00","257,119.00"
915900,Paul D. Camp Community College,"512,617.00","256,309.00"
4240200,Aviation Institute Of Maintenance,"512,166.00","256,083.00"
535400,Tennessee College Of Applied Technology-Jackson,"510,365.00","255,183.00"
996800,Gordon Cooper Technology Center,"509,679.00","254,840.00"
314700,Bacone College,"509,457.00","254,729.00"
2310800,Lancaster County Career And Technology Center,"508,099.00","254,050.00"
755800,Fort Myers Technical College,"507,574.00","253,787.00"
1167300,Maine College Of Art,"507,454.00","253,727.00"
3400300,Quest College,"506,799.00","253,400.00"
1185900,Word Of Life Bible Institute,"506,756.00","253,378.00"
500700,West Virginia Junior College,"506,663.00","253,332.00"
3812300,Omnitech Institute,"506,117.00","253,059.00"
1001400,Garrett College,"504,992.00","252,496.00"
195800,Brescia University,"504,094.00","252,047.00"
331100,Salus University,"503,656.00","251,828.00"
2104400,Spa Tech Institute,"502,984.00","251,492.00"
2144800,Vet Tech Institute Of Houston,"502,030.00","251,015.00"
4139000,Midwestern Career College,"501,791.00","250,896.00"
1048900,American National University,"501,696.00","250,848.00"
558600,Lindsey Hopkins Technical College,"501,691.00","250,846.00"
2242500,Bastyr University,"501,592.00","250,796.00"
2231600,Mgh Institute Of Health Professions,"500,795.00","250,398.00"
402600,Tennessee College Of Applied Technology - Crossville,"499,909.00","249,955.00"
2206200,Beauty Institute (The),"497,279.00","248,640.00"
189500,Waldorf University,"497,220.00","248,610.00"
4154900,National Career Institute,"497,128.00","248,564.00"
215000,Fisher College,"496,691.00","248,346.00"
4121000,Mycomputercareer.Com /Techskills,"495,594.00","247,797.00"
4180000,Cinta Aveda Institute,"493,584.00","246,792.00"
1323400,Lorenzo Walker Technical College,"492,820.00","246,410.00"
178400,Ancilla Domini College,"492,118.00","246,059.00"
2068200,Cox College,"492,010.00","246,005.00"
4234900,Amg School Of License Practical Nursing,"491,430.00","245,715.00"
238300,Crown College,"491,090.00","245,545.00"
903200,Empire College,"490,975.00","245,488.00"
526500,North Central Kansas Technical College,"490,545.00","245,273.00"
194000,Southwestern College,"490,411.00","245,206.00"
3706300,Hollywood Institute,"490,367.00","245,184.00"
545200,Teterboro School Of Aeronautics,"490,330.00","245,165.00"
346500,Mount Marty College,"489,509.00","244,755.00"
2202700,Ozark Christian College,"489,464.00","244,732.00"
159700,Truett Mcconnell University,"489,215.00","244,608.00"
283200,Saint Thomas Aquinas College,"489,023.00","244,512.00"
2326800,Meridian College,"488,558.00","244,279.00"
529100,White Mountains Community College,"488,503.00","244,252.00"
356800,Frank Phillips College,"488,436.00","244,218.00"
1099300,Hobart Institute Of Welding Technology,"485,886.00","242,943.00"
226500,Grace Christian University,"485,111.00","242,556.00"
2174400,Triangle Tech,"484,941.00","242,471.00"
